Date,BAC,C,GS,JPM,MS,WFC,^GSPC
2003-01-31,20.238550186157227,201.59829711914062,48.26983642578125,12.453556060791016,19.42534065246582,12.471548080444336,855.7000122070312
2003-02-28,20.00452995300293,195.67056274414062,49.22673034667969,12.101399421691895,18.887168884277344,12.016372680664062,841.1500244140625
2003-03-31,19.494464874267578,202.18502807617188,48.255653381347656,12.650976181030273,19.655986785888672,11.920979499816895,848.1799926757812
2003-04-30,21.597333908081055,230.3561248779297,53.88212203979492,15.883194923400879,23.061288833618164,12.787434577941895,916.9199829101562
2003-05-31,21.64107322692871,241.9771728515625,57.85760498046875,17.782691955566406,23.576635360717773,12.877869606018066,963.5900268554688
2003-06-30,23.246294021606445,252.4773406982422,59.45491409301758,18.49703025817871,22.030609130859375,13.43777847290039,974.5
2003-07-31,24.287574768066406,266.3362731933594,62.04316711425781,19.15841293334961,24.566795349121094,13.472445487976074,990.3099975585938
2003-08-31,23.311004638671875,257.7160949707031,63.00434494018555,18.704736709594727,25.26590347290039,13.490455627441406,1008.010009765625
2003-09-30,23.188650131225586,270.5572509765625,59.736289978027344,18.764856338500977,26.130722045898438,13.856371879577637,995.969970703125
2003-10-31,22.50225257873535,283.8812561035156,67.0500717163086,19.81342887878418,28.535974502563477,15.153220176696777,1050.7099609375
2003-11-30,22.413116455078125,281.665283203125,68.60670471191406,19.5374813079834,28.749187469482422,15.549991607666016,1058.199951171875
2003-12-31,24.15100860595703,290.7087707519531,70.49897003173828,20.271516799926758,30.096153259277344,15.973115921020508,1111.9200439453125
2004-01-31,24.460285186767578,298.765869140625,71.26146697998047,21.664173126220703,30.40456199645996,15.571683883666992,1131.1300048828125
2004-02-29,24.598411560058594,303.4756774902344,75.7855224609375,22.850711822509766,31.214160919189453,15.677127838134766,1144.93994140625
2004-03-31,24.554264068603516,312.1703796386719,74.69750213623047,23.368785858154297,29.92923927307129,15.491244316101074,1126.2099609375
2004-04-30,24.405691146850586,292.7911071777344,69.4276123046875,21.115449905395508,26.961380004882812,15.433837890625,1107.300048828125
2004-05-31,25.20616340637207,282.6844482421875,67.38964080810547,20.68863868713379,28.073627471923828,16.201290130615234,1120.6800537109375
2004-06-30,25.907546997070312,283.11065673828125,67.56904602050781,21.772497177124023,27.685407638549805,15.76870346069336,1140.8399658203125
2004-07-31,26.026945114135742,270.89410400390625,63.465763092041016,21.149295806884766,26.00816535949707,15.81829833984375,1101.719970703125
2004-08-31,27.542463302612305,286.1930236816406,64.5164794921875,22.42402458190918,26.746292114257812,16.323835372924805,1104.239990234375
2004-09-30,26.80023956298828,271.0784912109375,67.0999984741211,22.50900650024414,25.99234962463379,16.56835174560547,1114.5799560546875
2004-10-31,27.703277587890625,275.1184387207031,70.99119567871094,22.054685592651367,27.072755813598633,16.593351364135742,1130.199951171875
2004-11-30,28.61866569519043,277.474609375,75.59497833251953,21.51189422607422,26.892602920532227,17.30182456970215,1173.8199462890625
2004-12-31,29.349441528320312,298.742431640625,75.07548522949219,22.2889461517334,29.420238494873047,17.408262252807617,1211.9200439453125
2005-01-31,28.962186813354492,304.1369323730469,78.01337432861328,21.51592254638672,29.79848289489746,17.170177459716797,1181.27001953125
2005-02-28,29.13707160949707,298.5342102050781,78.70055389404297,21.066347122192383,30.0700626373291,16.762577056884766,1203.5999755859375
