Date,BAC,C,GS,JPM,MS,WFC,^GSPC
2004-10-15,27.82697868347168,269.972412109375,67.76207733154297,22.134687423706055,25.562528610229492,16.685041427612305,1108.199951171875
2004-10-18,27.8207950592041,271.69293212890625,67.82683563232422,22.283235549926758,25.880475997924805,16.71282386779785,1114.02001953125
2004-10-19,27.437301635742188,267.8221130371094,66.970458984375,21.700437545776367,25.551939010620117,16.49053955078125,1103.22998046875
2004-10-20,27.041460037231445,265.9787902832031,66.45228576660156,21.283355712890625,25.329374313354492,16.34327507019043,1103.6600341796875
2004-10-21,27.158981323242188,263.889892578125,67.4481430053711,21.54046630859375,25.806291580200195,16.259925842285156,1106.489990234375
2004-10-22,27.0909366607666,261.49371337890625,66.89247131347656,21.409055709838867,25.604923248291016,16.08209991455078,1095.739990234375
2004-10-25,26.979602813720703,261.616455078125,66.69042205810547,21.15193748474121,25.477758407592773,16.073766708374023,1094.800048828125
2004-10-26,27.13422966003418,266.28594970703125,67.6573715209961,21.420480728149414,26.097740173339844,16.309940338134766,1111.0899658203125
2004-10-27,27.437301635742188,270.0339660644531,69.3459243774414,21.72330665588379,27.141647338867188,16.434967041015625,1125.4000244140625
2004-10-28,27.536277770996094,274.43634033203125,70.30565643310547,21.986125946044922,27.464893341064453,16.623912811279297,1127.43994140625
2004-10-29,27.703277587890625,275.1184387207031,70.99119567871094,22.054685592651367,27.072755813598633,16.593351364135742,1130.199951171875
2004-11-01,27.901187896728516,274.7463073730469,70.94788360595703,21.99755859375,27.655662536621094,16.646141052246094,1130.510009765625
2004-11-02,27.93830108642578,278.4046936035156,71.11387634277344,22.02613067626953,27.634456634521484,16.615571975708008,1130.56005859375
2004-11-03,28.22901153564453,280.8228759765625,71.70557403564453,22.197540283203125,28.042482376098633,16.89006996154785,1143.199951171875
2004-11-04,28.606306076049805,285.7834777832031,72.16016387939453,22.648916244506836,28.498205184936523,17.203784942626953,1161.6700439453125
2004-11-05,28.42075538635254,286.0313720703125,72.7735595703125,22.48321533203125,28.482301712036133,17.226194381713867,1166.1700439453125
2004-11-08,28.4331111907959,286.7752685546875,72.31172180175781,22.443225860595703,28.047788619995117,17.25701332092285,1164.8900146484375
2004-11-09,28.40838050842285,286.5274658203125,72.78797912597656,22.346092224121094,27.554969787597656,17.240201950073242,1164.0799560546875
2004-11-10,28.593944549560547,285.5353698730469,72.70136260986328,22.254667282104492,27.321823120117188,17.226194381713867,1162.9100341796875
2004-11-11,29.138214111328125,286.83746337890625,74.3249740600586,22.386085510253906,27.634456634521484,17.408262252807617,1173.47998046875
2004-11-12,29.342330932617188,291.85992431640625,75.52287292480469,22.380373001098633,28.153762817382812,17.525911331176758,1184.1700439453125
2004-11-15,29.2742919921875,289.37969970703125,75.49397277832031,22.37466049194336,28.19085693359375,17.520301818847656,1183.81005859375
2004-11-16,28.92793846130371,285.5353698730469,74.84455871582031,21.980424880981445,27.825218200683594,17.41666603088379,1175.4300537109375
2004-11-17,28.816593170166016,286.34149169921875,75.55889129638672,21.86613655090332,28.206762313842773,17.495092391967773,1181.93994140625
2004-11-18,28.70525360107422,284.667236328125,75.64550018310547,21.609025955200195,28.392230987548828,17.492294311523438,1183.550048828125
2004-11-19,28.35890769958496,279.9547424316406,74.35383605957031,21.380483627319336,27.69273567199707,17.240201950073242,1170.3399658203125
2004-11-22,28.61248207092285,280.0788879394531,74.62806701660156,21.454761505126953,27.528484344482422,17.380250930786133,1177.239990234375
2004-11-23,28.699077606201172,280.3268737792969,74.90948486328125,21.460477828979492,27.290029525756836,17.478294372558594,1176.93994140625
2004-11-24,28.73618507385254,282.2489318847656,75.7681655883789,21.54046630859375,27.21053695678711,17.492294311523438,1181.760009765625
2004-11-26,28.742372512817383,281.62890625,75.65274047851562,21.534753799438477,27.08865737915039,17.506309509277344,1182.6500244140625
2004-11-29,28.661968231201172,278.7767028808594,75.82589721679688,21.317636489868164,27.093955993652344,17.422269821166992,1178.5699462890625
2004-11-30,28.61866569519043,277.474609375,75.59497833251953,21.51189422607422,26.892602920532227,17.30182456970215,1173.8199462890625
2004-12-01,29.0996036529541,284.853271484375,76.48977661132812,21.871856689453125,27.544376373291016,17.612730026245117,1191.3699951171875
2004-12-02,28.993432998657227,283.7372131347656,76.92274475097656,21.9632625579834,27.629169464111328,17.553911209106445,1190.3299560546875
2004-12-03,28.930980682373047,283.0551452636719,76.82892608642578,21.74616241455078,28.12197494506836,17.478294372558594,1191.1700439453125
2004-12-06,29.043392181396484,286.2793273925781,77.33406066894531,21.780433654785156,28.227943420410156,17.500682830810547,1190.25
2004-12-07,28.637422561645508,285.22528076171875,76.55474090576172,21.603317260742188,27.894105911254883,17.31583023071289,1177.0699462890625
2004-12-08,28.79981231689453,287.02337646484375,76.98046112060547,21.454761505126953,27.88881492614746,17.483890533447266,1182.81005859375
2004-12-09,28.856035232543945,287.9535217285156,77.56497192382812,21.534753799438477,27.825218200683594,17.6351375579834,1189.239990234375
